cidade,distcapital
ITOBI,238
ITU,100
ITUPEVA,76
ITUVERAVA,428
JABORANDI,437
JABOTICABAL,358
JACAREÍ,78
JACI,476
JACUPIRANGA,217
JAGUARIÚNA,125
JALES,596
JAMBEIRO,120
JANDIRA,39
JARDINÓPOLIS,354
JARINU,73
JAÚ,312
JERIQUARA,453
JOANÓPOLIS,116
JOÃO RAMALHO,493
JOSÉ BONIFÁCIO,494
JÚLIO MESQUITA,431
JUMIRIM,151
JUNDIAÍ,60
JUNQUEIRÓPOLIS,623
JUQUIÁ,158
JUQUITIBA,72
LAGOINHA,191
LARANJAL PAULISTA,158
LAVÍNIA,585
LAVRINHAS,221
LEME,209
LENÇÓIS PAULISTA,286
LIMEIRA,150
LINDÓIA,156
LINS,430
LORENA,189
LOURDES,553
LOUVEIRA,75
LUCÉLIA,572
LUCIANÓPOLIS,379
LUÍS ANTÔNIO,289
LUIZIÂNIA,508
LUPÉRCIO,427
LUTÉCIA,469
MACATUBA,300
MACAUBAL,523
MACEDÔNIA,581
MAGDA,542
MAIRINQUE,74
MAIRIPORÃ,41
MANDURI,315
MARABÁ PAULISTA,638
MARACAÍ,460
MARAPOAMA,424
MARIÁPOLIS,596
MARÍLIA,434
MARINÓPOLIS,635
MARTINÓPOLIS,538
MATÃO,326
MAUÁ,27
MENDONÇA,460
MERIDIANO,556
MESÓPOLIS,636
MIGUELÓPOLIS,456
MINEIROS DO TIETÊ,272
MIRA ESTRELA,599
MIRACATU,137
MIRANDÓPOLIS,593
MIRANTE DO PARANAPANEMA,619
MIRASSOL,465
MIRASSOLÂNDIA,486
MOCOCA,265
MOGI DAS CRUZES,61
MOGI GUAÇU,164
MOJI MIRIM,153
MOMBUCA,...150
MONÇÕES,545
MONGAGUÁ,90
MONTE ALEGRE DO SUL,131
MONTE ALTO,374
MONTE APRAZÍVEL,487
MONTE AZUL PAULISTA,417
MONTE CASTELO,658
MONTE MOR,121
MONTEIRO LOBATO,127
MORRO AGUDO,395
MORUNGABA,107
MOTUCA,321
MURUTINGA DO SUL,614
NANTES,525
NARANDIBA,594
NATIVIDADE DA SERRA,185
NAZARÉ PAULISTA,90
NEVES PAULISTA,483
NHANDEARA,522
NIPOÃ,506
NOVA ALIANÇA,464
NOVA CAMPINA,312
NOVA CANAÃ PAULISTA,658
NOVA CASTILHO,576
NOVA EUROPA,331
NOVA GRANADA,483
NOVA GUATAPORANGA,658
NOVA INDEPENDÊNCIA,658
NOVA LUZITÂNIA,559
NOVA ODESSA,124
NOVAIS,420
NOVO HORIZONTE,413
NUPORANGA,391
OCAUÇU,427
ÓLEO,323
OLÍMPIA,453
ONDA VERDE,475
ORIENTE,458
 ORINDIÚVA,530
ORLÂNDIA,380
OSASCO,21
OSCAR BRESSANE,475
OSVALDO CRUZ,558
OURINHOS,372
OURO VERDE,658
OUROESTE,601
PACAEMBU,603
PALESTINA,505
PALMARES PAULISTA,407
PALMEIRA D'OESTE,629
PALMITAL,413
PANORAMA,673
PARAGUAÇU PAULISTA,466
PARAIBUNA,123
PARAÍSO,402
PARANAPANEMA,260
PARANAPUÃ,618
PARAPUÃ,547
PARDINHO,206
PARIQUERA-AÇU,215
PARISI,545
PATROCÍNIO PAULISTA,430
PAULICÉIA,671
PAULÍNIA,119
PAULISTÂNIA,341
PAULO DE FARIA,546
PEDERNEIRAS,320
PEDRA BELA,119
PEDRANÓPOLIS,559
PEDREGULHO,455
PEDREIRA,137
